image_name,matrix_type,solver,sigma,mse_mean,mse_max,mse_median
kodak_kodim01,dense,gauss_seidel,0.0,1.0359703124738922e-16,1.0359703124738922e-16,1.0359703124738922e-16
kodak_kodim01,dense,gauss_seidel,0.01,1.9547791889153184e-07,1.9953997583984626e-07,1.9487545864388472e-07
kodak_kodim01,dense,gauss_seidel,0.03,1.7799899436975777e-06,1.787773708555028e-06,1.7779993964487624e-06
kodak_kodim01,dense,gauss_seidel,0.07,9.691843411955186e-06,9.800769365827714e-06,9.691859877495209e-06
kodak_kodim01,dense,gauss_seidel,0.12,2.8205652878799053e-05,2.8392747837722258e-05,2.81392507152573e-05
kodak_kodim01,dense,gaussian,0.0,5.67023105730732e-32,5.67023105730732e-32,5.67023105730732e-32
kodak_kodim01,dense,gaussian,0.01,1.954779078267528e-07,1.9953994302994542e-07,1.948754061841681e-07
kodak_kodim01,dense,gaussian,0.03,1.7799899734455275e-06,1.7877735816640936e-06,1.7779993246124792e-06
kodak_kodim01,dense,gaussian,0.07,9.691843477418395e-06,9.800768358812045e-06,9.691860781865683e-06
kodak_kodim01,dense,gaussian,0.12,2.820565421831214e-05,2.839274773555232e-05,2.8139253313202587e-05
kodak_kodim01,dense,gmres,0.0,6.2001282696817925e-18,6.2001282696817925e-18,6.2001282696817925e-18
kodak_kodim01,dense,gmres,0.01,1.9547791653543135e-07,1.9953997771372264e-07,1.94875418421812e-07
kodak_kodim01,dense,gmres,0.03,1.7799900138095162e-06,1.787773681587847e-06,1.7779993464686724e-06
kodak_kodim01,dense,gmres,0.07,9.69184335753791e-06,9.800768477158964e-06,9.691860577641903e-06
kodak_kodim01,dense,gmres,0.12,2.8205654081565428e-05,2.839274775011345e-05,2.8139253094502038e-05
kodak_kodim01,dense,lu,0.0,3.7347340775584557e-32,3.734734077558455e-32,3.734734077558455e-32
kodak_kodim01,dense,lu,0.01,1.9547790782675265e-07,1.99539943029946e-07,1.948754061841672e-07
kodak_kodim01,dense,lu,0.03,1.7799899734455292e-06,1.7877735816640879e-06,1.7779993246124828e-06
kodak_kodim01,dense,lu,0.07,9.69184347741839e-06,9.800768358812034e-06,9.691860781865693e-06
kodak_kodim01,dense,lu,0.12,2.820565421831215e-05,2.8392747735552317e-05,2.8139253313202597e-05
kodak_kodim01,dense,np_solve,0.0,5.621482379344354e-32,5.621482379344354e-32,5.621482379344354e-32
