matrix_type,sigma,repeat,image_idx,image_name,solver,baseline_solver,delta_psnr_db,delta_mse,delta_relative_error,delta_relative_residual,delta_time_ms
dense,0.0,0,0,kodak_kodim01,gaussian,np_solve,0.0,4.8748677962966196e-34,2.4986270359248557e-18,-3.0599616625769173e-18,1268.5967
dense,0.0,0,0,kodak_kodim01,lu,np_solve,0.0,-1.886748301785899e-32,-9.596847120008447e-17,-8.677687944288594e-17,231.0848
dense,0.0,0,0,kodak_kodim01,gauss_seidel,np_solve,0.0,1.0359703124738916e-16,2.232219741633297e-08,2.0197343206532555e-08,5078.1123
dense,0.0,0,0,kodak_kodim01,gmres,np_solve,0.0,6.200128269681736e-18,5.4848871707870666e-09,4.271114939605244e-09,352.3045
dense,0.0,0,1,kodak_kodim02,gaussian,np_solve,0.0,-1.507508822728984e-33,-1.4060208521097846e-17,-1.074782918088857e-17,1230.0717000000002
dense,0.0,0,1,kodak_kodim02,lu,np_solve,0.0,-9.4130930778394e-33,-9.592509256299908e-17,-8.410311161609995e-17,232.5925
dense,0.0,0,1,kodak_kodim02,gauss_seidel,np_solve,0.0,1.0862306519921326e-16,3.2426934678920335e-08,2.9327547187626722e-08,5030.0034000000005
dense,0.0,0,1,kodak_kodim02,gmres,np_solve,0.0,3.0357597268783086e-18,5.444086847136913e-09,4.181860364162193e-09,343.2456
dense,0.0,0,2,kodak_kodim03,gaussian,np_solve,0.0,-5.651621975037077e-34,-2.9990664935368625e-18,-6.3627146248118105e-18,1239.3796
dense,0.0,0,2,kodak_kodim03,lu,np_solve,0.0,-1.5820367901808916e-32,-9.280430762882484e-17,-8.756223062768423e-17,241.04539999999997
dense,0.0,0,2,kodak_kodim03,gauss_seidel,np_solve,0.0,1.733607190981455e-16,3.082438028734605e-08,2.7861168603913287e-08,4938.6009
dense,0.0,0,2,kodak_kodim03,gmres,np_solve,0.0,5.245362127488978e-18,5.375748066998068e-09,4.12848533674676e-09,351.4329
dense,0.0,0,3,kodak_kodim04,gaussian,np_solve,0.0,-1.108975849807531e-33,-6.402243830788977e-18,-3.541524241139846e-18,1235.2411
