matrix_type,solver,solver_family,sigma,repeat,image_idx,image_name,data_source,seed,status,solve_success,hit_iteration_cap,error_message,failed_blocks,psnr_db,mse,relative_error,relative_residual,condition_number,time_ms,gs_avg_iters,gs_hit_max_ratio,gmres_avg_iters,gmres_hit_max_ratio
dense,gaussian,direct,0.0,0,0,kodak_kodim01,benchmark,42,ok,True,False,,0,99.0,5.67023105730732e-32,5.225324852344303e-16,4.708606966987062e-16,2.5107067648455232,1275.4906,0.0,0.0,0.0,0.0
dense,lu,factorization,0.0,0,0,kodak_kodim01,benchmark,42,ok,True,False,,0,99.0,3.734734077558455e-32,4.24065386998421e-16,3.8714377891839723e-16,2.5107067648455232,237.9787,0.0,0.0,0.0,0.0
dense,gauss_seidel,iterative,0.0,0,0,kodak_kodim01,benchmark,42,iter_limit,True,True,,0,99.0,1.0359703124738922e-16,2.232219793636683e-08,2.0197343680453213e-08,2.5107067648455232,5085.0062,21.5390625,0.0625,0.0,0.0
dense,gmres,hybrid,0.0,0,0,kodak_kodim01,benchmark,42,ok,True,False,,0,99.0,6.2001282696817925e-18,5.4848876908209246e-09,4.271115413525902e-09,2.5107067648455232,359.1984,0.0,0.0,15.9921875,0.0
dense,np_solve,baseline,0.0,0,0,kodak_kodim01,benchmark,42,ok,True,False,,0,99.0,5.621482379344354e-32,5.200338581985055e-16,4.739206583612832e-16,2.5107067648455232,6.8939,0.0,0.0,0.0,0.0
dense,gaussian,direct,0.0,0,1,kodak_kodim02,benchmark,42,ok,True,False,,0,99.0,2.671181285715606e-32,5.086405548357835e-16,4.586664420922261e-16,2.5107067648455232,1236.6283,0.0,0.0,0.0,0.0
dense,lu,factorization,0.0,0,1,kodak_kodim02,benchmark,42,ok,True,False,,0,99.0,1.8806228602045645e-32,4.267756707938823e-16,3.8531115965701475e-16,2.5107067648455232,239.1491,0.0,0.0,0.0,0.0
dense,gauss_seidel,iterative,0.0,0,1,kodak_kodim02,benchmark,42,iter_limit,True,True,,0,99.0,1.0862306519921328e-16,3.24269352016211e-08,2.9327547657040993e-08,2.5107067648455232,5036.56,21.16015625,0.0625,0.0,0.0
dense,gmres,hybrid,0.0,0,1,kodak_kodim02,benchmark,42,ok,True,False,,0,99.0,3.0357597268783367e-18,5.444087369837677e-09,4.181860833576465e-09,2.5107067648455232,349.8022,0.0,0.0,15.9921875,0.0
dense,np_solve,baseline,0.0,0,1,kodak_kodim02,benchmark,42,ok,True,False,,0,99.0,2.8219321679885046e-32,5.227007633568814e-16,4.694142712731147e-16,2.5107067648455232,6.5566,0.0,0.0,0.0,0.0
dense,gaussian,direct,0.0,0,2,kodak_kodim03,benchmark,42,ok,True,False,,0,99.0,4.755882180979038e-32,5.106451359506572e-16,4.621604930153161e-16,2.5107067648455232,1246.3004,0.0,0.0,0.0,0.0
dense,lu,factorization,0.0,0,2,kodak_kodim03,benchmark,42,ok,True,False,,0,99.0,3.230361610548517e-32,4.208398948153692e-16,3.809609770124437e-16,2.5107067648455232,247.9662,0.0,0.0,0.0,0.0
dense,gauss_seidel,iterative,0.0,0,2,kodak_kodim03,benchmark,42,iter_limit,True,True,,0,99.0,1.7336071909814556e-16,3.082438080099025e-08,2.7861169072436495e-08,2.5107067648455232,4945.5217,21.24609375,0.0625,0.0,0.0
dense,gmres,hybrid,0.0,0,2,kodak_kodim03,benchmark,42,ok,True,False,,0,99.0,5.245362127489026e-18,5.37574858064227e-09,4.128485805269968e-09,2.5107067648455232,358.3537,0.0,0.0,16.0,0.0
dense,np_solve,baseline,0.0,0,2,kodak_kodim03,benchmark,42,ok,True,False,,0,99.0,4.812398400729409e-32,5.13644202444194e-16,4.685232076401279e-16,2.5107067648455232,6.9208,0.0,0.0,0.0,0.0
