matrix_type,solver,solver_family,noise_levels,psnr_mean_over_sigma,mse_mean_over_sigma,time_ms_median_over_sigma,success_rate_over_sigma,full_convergence_rate_over_sigma,cond
dense,gauss_seidel,iterative,5,63.82783770503397,8.02245544873621e-06,3016.61897,1.0,0.8333333333333334,2.5107067648455232
dense,gaussian,direct,5,63.8278377944121,8.022455401715355e-06,1271.7173,1.0,1.0,2.5107067648455232
dense,gmres,hybrid,5,63.827837786119574,8.022455416199873e-06,362.86875,1.0,1.0,2.5107067648455232
dense,lu,factorization,5,63.8278377944121,8.022455401715355e-06,244.71457,1.0,1.0,2.5107067648455232
dense,np_solve,baseline,5,63.8278377944121,8.022455401715357e-06,6.80488,1.0,1.0,2.5107067648455232
sparse,gauss_seidel,iterative,5,57.84843926810712,4.4762823119014174e-05,2581.8895899999998,1.0,0.8333333333333334,2.617939524485603
sparse,gaussian,direct,5,57.8484392573187,4.476282303948006e-05,1278.18399,1.0,1.0,2.617939524485603
sparse,gmres,hybrid,5,57.84843926943627,4.476282283882232e-05,363.92256999999995,1.0,1.0,2.617939524485603
sparse,lu,factorization,5,57.8484392573187,4.4762823039480064e-05,246.03218999999999,1.0,1.0,2.617939524485603
sparse,np_solve,baseline,5,57.8484392573187,4.4762823039480064e-05,6.817539999999999,1.0,1.0,2.617939524485603
