matrix_type,solver,solver_family,sigma,cond,sample_count,success_rate,full_convergence_rate,psnr_mean,psnr_std,mse_mean,mse_std,rel_err_mean,rel_err_std,residual_mean,residual_std,time_ms_mean,time_ms_std,time_ms_median,time_ms_iqr,gs_iters_mean,gs_iters_std,gs_hit_max_ratio_mean,gs_hit_max_ratio_std,gmres_iters_mean,gmres_iters_std,gmres_hit_max_ratio_mean,gmres_hit_max_ratio_std
dense,gauss_seidel,iterative,0.0,2.5107067648455232,72,1.0,0.16666666666666666,99.0,0.0,1.9983437349797266e-16,1.3614916336755689e-16,2.8281490182805242e-08,4.876491187741029e-09,2.5552464592699435e-08,4.474614007751721e-09,4901.400709722222,1108.0267804009602,5387.571,471.7270500000004,19.343587239583332,4.428861646476501,0.0517578125,0.023334113964426452,0.0,0.0,0.0,0.0
dense,gauss_seidel,iterative,0.01,2.5107067648455232,72,1.0,1.0,67.03733468846264,0.08497404910453613,1.9785530368800837e-07,3.8145934257235295e-09,0.0009837208728512956,0.00019391857898271524,2.5555623317834138e-08,4.455066161416656e-09,2416.734190277778,48.1962676882506,2418.2898999999998,62.86637500000006,9.648600260416666,0.15979882380133312,0.0,0.0,0.0,0.0,0.0,0.0
dense,gauss_seidel,iterative,0.03,2.5107067648455232,72,1.0,1.0,57.49970981032128,0.07926964813042216,1.7786873091521881e-06,3.19604446312368e-08,0.0029496122132764546,0.0005776702534176575,2.5557389515387103e-08,4.460433716251685e-09,2410.1509180555554,69.73407999257056,2392.7713999999996,69.38940000000002,9.612684461805555,0.1563870159076213,0.0,0.0,0.0,0.0,0.0,0.0
dense,gauss_seidel,iterative,0.07,2.5107067648455232,72,1.0,1.0,50.14246659204883,0.1083883865374022,9.680188567492572e-06,2.338222660165528e-07,0.0068846159537543595,0.0013466250769350282,2.5582255647576434e-08,4.421689609878095e-09,2498.131691666667,53.615699049679876,2501.74655,70.5190249999996,9.589789496527779,0.15130473752285492,0.0,0.0,0.0,0.0,0.0,0.0
dense,gauss_seidel,iterative,0.12,2.5107067648455232,72,1.0,1.0,45.459677434337124,0.11017962143678094,2.8455546063148452e-05,6.974977698040895e-07,0.011804734327527683,0.002292665307838702,2.5500649965743267e-08,4.514539254536744e-09,2395.075375,53.63385486020525,2382.7160000000003,67.17430000000013,9.575629340277779,0.15473421005759092,0.0,0.0,0.0,0.0,0.0,0.0
dense,gaussian,direct,0.0,2.5107067648455232,72,1.0,1.0,99.0,0.0,5.897227215881615e-32,2.3804022302141273e-32,5.096709542298914e-16,5.14489802226916e-18,4.594409325979033e-16,4.891422862871559e-18,1323.1092694444442,71.61131174277386,1333.3087500000001,111.26199999999972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense,gaussian,direct,0.01,2.5107067648455232,72,1.0,1.0,67.0373349805397,0.08497379411459809,1.9785529016582548e-07,3.8145826753187775e-09,0.0009837208486244181,0.0001939185256205445,4.613041880396281e-16,3.572724058480006e-18,1251.0903958333333,31.82816366451343,1241.85115,26.45652499999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense,gaussian,direct,0.03,2.5107067648455232,72,1.0,1.0,57.49970993978094,0.07926989533997657,1.7786872578959038e-06,3.196053712012522e-08,0.002949612191813828,0.0005776702612706235,4.610332416342497e-16,4.123306669397825e-18,1252.2154236111112,28.368474427153863,1245.6721,36.21657499999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense,gaussian,direct,0.07,2.5107067648455232,72,1.0,1.0,50.14246658275146,0.10838853192368249,9.680188595822438e-06,2.3382255694054329e-07,0.006884615993715811,0.0013466251161933268,4.611035330132609e-16,3.9093088028943e-18,1290.583163888889,25.83024890143777,1291.1804000000002,34.6413500000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense,gaussian,direct,0.12,2.5107067648455232,72,1.0,1.0,45.45967746898838,0.11017980401631881,2.8455545864692607e-05,6.974988430378395e-07,0.011804734325301863,0.0022926653480953786,4.612620826190197e-16,4.097154096720398e-18,1254.5027333333335,31.388608271239935,1246.5740999999998,34.29877499999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
